"","Date","Antimony.","Arsenic.","Aluminum.","Barium.","Bromine.","Cadmium.","Calcium.","Chromium.","Cobalt.","Copper.","Chlorine.","Cerium.","Cesium.","Iron.","Lead.","Indium.","Manganese.","Nickel.","Magnesium.","Phosphorus.","Selenium.","Tin.","Titanium.","Vanadium.","Silicon.","Silver.","Zinc.","Strontium.","Rubidium.","Zirconium.","Ammonium","Sodium","Potassium","Nitrate","OC","EC","Sulfate.","PM2.5"
"58","2011-08-16",0,0,0.022,0,0.0013,0,0.0425,0,0,0.0038,0.003,0,0,0.138,0.001,0.001,0.0023,0.0018,0,0,0,0.013,0,0.003,0.0207,0.005,0.0132,0.0034,0,0,0.056,0.0251,0,0.283,2.31,1.25,0.505,5.7
"59","2011-08-19",0.001,0.002,0.029,0,0.0032,0,0.0402,0.001,0.001,0.006,0.0104,0,0,0.111,0.002,0,0.0041,0.002,0.0097,0,0,0,0.004,0.004,0.047,0,0.0194,0.001,0,0,1.24,0.074,0.02,1.57,3.24,1.64,3.13,15.7
"60","2011-08-25",0,0.001,0.005,0,0.0025,0.009,0.0256,0,0.001,0.002,0.008,0,0,0.0642,0,0,0,0.0034,0,0,0,0,0,0.009,0.023,0,0.0075,0,0,0,0.677,0.24,0.066,0.492,2.85,1.29,2.57,11.7
"61","2011-08-28",0,0,0,0,0.001,0,0.0224,0,0,0.001,0.216,0,0,0.0233,0,0,0,0,0.013,0,0,0,0,0,0.028,0,0.002,0,0,0,0,0.28,0,0.0952,0.959,0.164,0.46,2.9
"62","2011-09-03",0,0,0.05,0,0.002,0,0.0313,0,0.001,0.0026,0.0127,0,0,0.0644,0.005,0.011,0,0.0098,0,0,0.001,0,0,0.0227,0.034,0,0.0094,0,0,0.0093,1.49,0.0793,0.0313,0.803,3.29,1.58,4.56,17
"63","2011-09-18",0,0,0,0,0.0031,0,0.017,0,0.0016,0.0019,0.006,0,0,0.106,0.002,0,0.0022,0.0012,0,0,0,0,0.004,0,0.013,0,0.0118,0,0,0,0.12,0.146,0.0394,0.404,1.56,0.461,0.544,4.6
"64","2011-09-24",0,0,0.005,0,0.0021,0,0.0285,0,0,0.0086,0.009,0,0,0.0969,0.002,0,0.0028,0.0078,0,0,0.0013,0,0.003,0.0253,0.0257,0.007,0.0165,0,0,0,0.792,0.0855,0.0301,1.72,3.35,1.69,1.99,10.6
"65","2011-09-30",0.012,0,0.072,0,0.001,0.017,0.0667,0.002,0,0.004,0,0,0,0.111,0.002,0.018,0.002,0.0027,0.039,0,0.001,0.009,0.003,0.0056,0.0796,0.008,0.008,0,0.002,0.003,1.16,0.077,0.048,0.828,2.87,1.28,3.53,12.1
"66","2011-10-12",0,0,0.011,0,0.0023,0,0.0793,0.0051,0.001,0.0034,0.0527,0,0,0.115,0,0.022,0.002,0.0013,0,0,0,0.002,0.001,0.002,0.0683,0.005,0.0086,0,0,0.0058,0.061,0.179,0.0206,0.499,1.59,0.664,0.835,5.3
"67","2011-10-15",0.009,0,0.009,0,0.003,0.015,0.0371,0.001,0,0,0,0,0.001,0.105,0,0.021,0.002,0.0027,0,0,0.0032,0.004,0.003,0.0032,0.0443,0.015,0.006,0.001,0.001,0.004,0.723,0.0304,0.0215,0.307,2.19,0.685,2.08,7.4
"68","2011-10-27",0,0,0.016,0.003,0.002,0,0.0657,0.002,0.001,0.0064,0.0166,0,0.001,0.128,0.0051,0,0.004,0.008,0,0,0,0,0.002,0.007,0.048,0,0.0386,0.001,0,0,0.634,0.038,0.0431,1.48,2.84,1.63,1.61,10.2
"69","2011-11-02",0,0.001,0.03,0.007,0.0039,0,0.0903,0.0036,0.0028,0.0089,0.0291,0,0,0.237,0.002,0,0.0053,0.0103,0.019,0,0,0,0.003,0.009,0.057,0,0.0696,0.002,0.001,0.006,1.78,0.08,0.084,4.35,4.66,2.09,2.47,18.2
"70","2011-11-05",0,0.001,0.019,0,0.001,0,0.0906,0.002,0.0024,0.01,0.001,0,0,0.221,0.001,0,0.0034,0.0109,0,0.002,0,0,0.004,0.002,0.049,0,0.0561,0,0,0,0.385,0.0404,0.0276,0.937,2.33,1.24,1.12,7.6
"71","2011-11-08",0,0.00198,0.019,0.018,0.0063,0,0.0948,0.0086,0.001,0.0155,0.0434,0,0,0.296,0.001,0.041,0.0069,0.0104,0.024,0,0.001,0,0,0.0253,0.0962,0.002,0.0479,0,0,0,2.37,0.164,0.0839,4.06,6.36,2.94,3.91,23.8
"72","2011-11-11",0,0,0.062,0.006,0.0026,0,0.265,0.001,0,0.0026,0.0132,0,0.008,0.12,0.0036,0.005,0.0034,0.001,0.012,0,0.002,0,0.001,0,0.264,0,0.0149,0,0,0,0.549,0.04,0.065,0.961,1.55,0.476,1.48,8.3
"73","2011-11-17",0.012,0,0.023,0,0.002,0.016,0.0488,0.001,0.001,0,0.001,0.001,0.007,0.0752,0,0.011,0,0.0042,0,0,0.002,0.008,0.003,0.001,0.0323,0.01,0.023,0.002,0,0.002,0.464,0.029,0.0203,0.767,2.01,0.918,1.22,6.7
"74","2011-11-20",0.001,0,0.032,0,0.006,0.005,0.0282,0,0,0.005,0.0111,0,0,0.0532,0.0032,0,0,0.0022,0.009,0,0,0.005,0,0.0053,0.033,0,0.0107,0,0.0016,0.002,1.05,0.13,0.067,1.39,3.94,0.872,2.25,11.7
"75","2011-12-08",0,0,0.036,0,0.0025,0,0.128,0,0.001,0.0031,0.003,0,0,0.1,0,0,0.0023,0.001,0,0,0,0.005,0,0,0.106,0.006,0.0266,0,0,0,0.736,0.028,0.027,1.71,2.07,0.824,1.39,8.4
"76","2011-12-11",0.02,0.001,0,0.004,0.0035,0,0.0385,0,0.001,0.0041,0.0084,0,0.007,0.0675,0.002,0,0.0028,0.0052,0,0,0,0,0,0.007,0.023,0,0.0259,0,0,0,1.13,0.06,0.039,2.74,2.52,0.61,1.67,11.3
"77","2011-12-14",0.029,0,0.054,0,0.0067,0,0.31,0.002,0.0023,0.0104,0.0956,0,0.004,0.235,0.0085,0.005,0.007,0.0129,0.024,0.014,0,0,0,0.0037,0.235,0,0.0782,0.001,0,0,2.44,0.093,0.081,5.14,3.68,1.73,3.36,21.6
"78","2011-12-17",0.003,0.002,0.066,0,0.002,0.01,0.0278,0.002,0,0,0.002,0,0.006,0.0588,0,0.013,0,0.004,0.002,0,0.001,0.001,0,0.0021,0.0178,0.002,0.023,0.002,0.001,0,0.435,0.037,0.028,0.58,2.32,0.648,1.12,6
"79","2011-12-20",0,0,0.027,0.001,0.0036,0.004,0.0648,0,0.001,0,0,0,0.004,0.128,0.0085,0.02,0.003,0.0069,0,0.001,0.0032,0.024,0.003,0.0029,0.054,0.008,0.033,0.001,0.001,0.001,0.915,0.039,0.033,2.33,2.64,1.42,1.51,10.8
"80","2011-12-23",0,0,0,0,0.0035,0.013,0.0612,0.003,0,0,0.001,0.002,0.006,0.109,0,0.006,0.002,0.0065,0.037,0.005,0.001,0.011,0.003,0.002,0.0231,0.001,0.032,0.001,0,0.002,0.436,0.0455,0.0259,0.911,2.2,0.977,1.25,7.3
"81","2011-12-29",0.008,0,0.01,0,0,0,0.184,0,0.001,0.0032,0.002,0,0.002,0.0913,0.0036,0,0.0022,0.003,0,0,0,0,0,0.0051,0.188,0,0.0227,0.001,0,0,0.556,0.039,0.026,1.62,1.71,0.687,0.978,7.7
"82","2012-01-01",0.025,0,0.011,0.003,0.0034,0.001,0.0263,0.001,0.001,0.0058,0.0261,0,0.008,0.064,0,0.004,0,0.0046,0.0095,0,0,0,0.002,0.006,0.028,0,0.0217,0,0,0,1.11,0.068,0.079,2,3.29,0.937,2.14,12
"83","2012-01-04",0.027,0.001,0.033,0,0.0036,0.006,0.0543,0,0.001,0.0055,0.0119,0,0,0.083,0,0,0.0035,0.0034,0.011,0,0,0,0,0.003,0.036,0,0.0444,0,0,0,0.904,0.087,0.04,2.13,0.029,0,1.62,9.2
"84","2012-01-07",0,0.0039,0.007,0,0.0057,0,0.0823,0,0.0015,0.0058,0.0198,0,0.005,0.131,0.002,0.026,0.0052,0.0032,0.017,0,0.001,0,0.005,0.0055,0.084,0,0.0297,0.003,0.001,0,1.27,0.0579,0.0882,2.72,4.27,1.55,2,15.9
"85","2012-01-10",0,0,0.027,0,0.0029,0,0.0661,0.002,0.001,0.011,0.0242,0,0,0.136,0.0067,0,0.0074,0.0042,0,0,0,0.004,0.004,0.0041,0.0631,0,0.0429,0,0.001,0,2.21,0.04,0.043,5.22,3.44,1.32,2.2,17.4
"86","2012-01-13",0,0,0.001,0,0.0058,0,0.0495,0.003,0,0.0056,0.007,0,0.004,0.122,0.002,0,0.003,0.0019,0.013,0,0.001,0,0.001,0.002,0.03,0,0.026,0.002,0,0,0.827,0.12,0.026,2.08,1.8,0.763,1.72,9.5
"87","2012-01-19",0.072,0,0.125,0.008,0.0037,0,1.5,0.001,0.0029,0.0091,0.149,0,0,0.239,0.003,0.007,0.004,0.0059,0.046,0.018,0,0,0.004,0.002,1.36,0.007,0.0363,0.0076,0,0,0.467,0.0691,0.0436,1.46,2.14,0.804,1.48,16.5
"88","2012-01-22",0.064,0.0021,0.001,0,0.0037,0,0.101,0.002,0,0.0068,0.0352,0,0,0.0878,0,0,0.0037,0.015,0.002,0,0.0013,0,0,0.0039,0.0362,0,0.0532,0,0,0,0.69,0.215,0.0483,1.46,2.26,0.946,1.91,10.6
"89","2012-01-25",0.007,0,0.013,0,0.0015,0,0.0373,0.0029,0.001,0.0023,0.006,0,0,0.095,0.002,0,0.002,0.0035,0,0,0,0,0,0,0.033,0,0.0241,0,0,0,1.32,0.0297,0.0256,1.72,2.2,0.868,2.66,10.3
"90","2012-01-28",0,0.001,0,0,0.0027,0,0.0167,0,0,0.0019,0.004,0,0,0.0558,0,0,0,0.0034,0,0,0,0,0.001,0.004,0.0205,0.014,0.0117,0.0023,0,0,0.684,0.029,0,1.22,2.04,0.548,1.44,6.5
"91","2012-01-31",0,0,0.02,0,0.0042,0.002,0.0441,0,0.001,0.0036,0.0082,0,0,0.124,0.0047,0,0.003,0.0053,0.003,0,0,0,0.002,0.0103,0.051,0,0.0221,0.002,0,0,0.767,0.0423,0.0263,1.66,2.93,1.29,1.59,10
