"","Date","Antimony.","Arsenic.","Aluminum.","Barium.","Bromine.","Cadmium.","Calcium.","Chromium.","Cobalt.","Copper.","Chlorine.","Cerium.","Cesium.","Iron.","Lead.","Indium.","Manganese.","Nickel.","Magnesium.","Phosphorus.","Selenium.","Tin.","Titanium.","Vanadium.","Silicon.","Silver.","Zinc.","Strontium.","Rubidium.","Zirconium.","Ammonium","Sodium","Potassium","Nitrate","OC","EC","Sulfate.","PM2.5"
"74","2013-12-21",0,0,0,0,0.0036,0,0.0238,0,0,0.0032,0.0051,0,0,0.0749,0.002,0,0.001,0.002,0.003,0,0,0,0.003,0.002,0.049,0,0.0183,0,0,0,1.01,0.13,0.075,2.53,4.02,1.47,1.47,15.1
"75","2014-01-08",0,0,0,0,0.0038,0,0.0474,0.002,0,0.0056,0.013,0,0,0.106,0.005,0,0.002,0.003,0.009,0,0,0.018,0.004,0.001,0.0385,0,0.0432,0.001,0,0,1.41,0.194,0.031,3.8,2.53,0.884,1.85,12.2
"76","2014-01-11",0,0,0,0.002,0.0031,0,0.0258,0,0,0.0046,0.033,0,0.005,0.0851,0,0,0.001,0.002,0,0,0,0,0,0.002,0.013,0,0.0153,0,0,0,0.303,0.211,0.0524,1.36,3.09,1.95,1.23,9.8
"77","2014-01-17",0,0.002,0,0,0.0044,0,0.0357,0.001,0,0.0064,0.0104,0,0,0.156,0.004,0,0.003,0.003,0,0,0,0,0.004,0.003,0.049,0,0.0263,0,0,0,2.35,0.0537,0.0427,5.43,3.56,1.69,2.55,17.6
"78","2014-02-07",0,0,0.026,0,0.0032,0,0.067,0.002,0.0017,0.0063,0.05,0,0,0.115,0.002,0.019,0.002,0.002,0,0,0.001,0,0.002,0,0.082,0,0.0287,0.001,0.001,0,2.67,0.086,0.071,5.38,2.94,0.883,3.66,16.6
"79","2014-02-13",0,0,0.041,0,0.0037,0,0.123,0.009,0.002,0.002,0.049,0,0,0.0902,0.011,0,0.002,0.027,0,0.0062,0,0.001,0.0292,0.0035,0.0428,0,0.035,0.001,0.001,0,0.354,2.26,0.33,3.25,1.71,1.04,4.05,7.5
"80","2014-02-19",0.028,0,0,0,0.0045,0,0.0273,0,0,0.0094,0.0324,0,0,0.181,0.005,0,0.005,0.004,0.016,0,0.0016,0,0.002,0.003,0.0464,0,0.0362,0,0,0,3.4,0.187,0.0407,6.29,4.95,2.36,4.94,26.2
"81","2014-02-22",0,0,0.007,0,0.0042,0,0.058,0.004,0.0019,0.002,0.012,0,0.004,0.118,0.001,0,0.002,0.007,0.01,0,0.002,0,0.002,0.0051,0.061,0,0.0251,0,0,0,0.901,0.097,0.058,2.51,2.64,1.34,1.25,10.7
"82","2014-03-03",0,0,0.013,0,0.0049,0.006,0.0624,0,0.0015,0.002,0.0395,0.001,0,0.0647,0.002,0,0.001,0.004,0.022,0,0.001,0,0.002,0.001,0.066,0,0.0248,0.001,0,0,0.655,0.271,0.0283,1.15,1.63,0.56,1.44,6.4
"83","2014-03-12",0,0,0.023,0.01,0.0083,0,0.0683,0.001,0.001,0.0115,0.101,0,0,0.262,0.001,0,0.003,0.003,0.009,0,0.002,0.014,0.004,0.002,0.07,0,0.0271,0,0,0.001,2.03,0.244,0.082,4.59,5.38,2.29,2.57,23.2
"84","2014-03-15",0.025,0.001,0.001,0,0.0028,0,0.031,0,0.0017,0,0.002,0,0,0.121,0.001,0,0,0.001,0.008,0,0.002,0,0.002,0,0.044,0,0.0072,0,0.001,0,0.615,0.089,0.041,0.715,2.55,0.666,1.53,7.5
"85","2014-03-27",0,0,0.031,0,0.002,0.02,0.0377,0,0.001,0.0057,0.0115,0,0,0.0832,0.002,0,0,0.002,0.0152,0,0,0,0.002,0,0.057,0.002,0.0131,0,0,0,1.23,0.136,0.042,3.11,1.75,0.654,1.99,5.5
"86","2014-03-30",0.023,0.001,0.004,0,0.0031,0,0.0273,0,0,0.0048,0.003,0,0,0.0385,0,0.001,0,0.007,0.005,0,0,0,0.002,0.002,0.037,0,0.018,0,0,0,0.178,0.107,0.02,1.01,1.13,0.683,0.707,4.2
"87","2014-04-02",0,0.001,0,0,0.0023,0,0.0274,0.001,0.001,0.0047,0.0431,0,0.002,0.185,0.002,0,0.004,0.004,0.02,0,0,0,0.002,0.0041,0.036,0,0.0733,0,0.001,0,1.41,0.127,0.0352,4.43,3.51,1.5,1.18,13.7
